Column1,Column2,Column3
723,1883,1073
679,1960,1550
599,2032,1705
485,2043,2044
340,2249,2295
231,2347,2452
114,2253,2911
36,2166,3110
-37,2075,3660
-293,1983,3690
-367,1882,3912
-389,1742,3967
-404,1635,3934
-411,1606,3912
-390,1577,3887
-189,1645,3873
-141,1703,3887
566,1759,3659
1150,1857,3529
1625,2054,3207
2042,2434,3088
2377,2599,3029
2863,2920,2419
3286,2937,2032
3371,2951,1805
3398,2962,1738
4166,2970,1646
4236,2952,1543
5010,3510,1349
5380,3480,964
5707,3754,879
5900,3817,847
6152,3971,785
6358,3951,542
6374,4108,482
6371,4298,425
6368,4256,374
6364,4213,323
6313,4171,273
6296,3890,214
6296,3845,224
5459,3705,176
5187,3384,129
5053,3305,48
5003,3225,-3
4892,3145,-184
4598,2880,-362
4540,2602,-402
4099,2297,-678
3904,2054,-726
3416,1537,-976
3291,1251,-1161
2952,1217,-1204
2799,1182,-1256
2671,1126,-1425
2114,242,-1512
1559,178,-1896
907,-597,-1998
316,-996,-2128
21,-1022,-2174
-68,-1485,-2520
-176,-1531,-2894
-769,-1865,-2919
-1121,-1982,-2943
-1321,-2105,-2966
-1815,-2135,-2989
-1983,-2150,-3011
-2254,-2141,-2877
-2679,-1975,-2223
-2749,-1941,-2098
-3718,-1856,-773
-3869,-1797,-567
-4241,-1737,-55
-4350,-1678,154
-4639,-1639,527
-4696,-1613,706
-5608,-1652,1644
-6283,-1747,1709
-6542,-1877,2033
-6822,-1856,2105
-7043,-1951,2235
-7088,-1967,2390
-7061,-1938,2792
-7015,-1865,2844
-6969,-1793,2925
-6910,-1721,3061
-6864,-1648,3204
-6660,-1560,3274
-6558,-1460,3323
-6160,-1249,3387
-5845,-923,3471
-5527,-693,3573
-4730,-438,3692
-4319,-66,3671
-3641,305,3629
-3362,638,3533
-2692,949,3491
-2005,1210,3524
-1172,1435,3539
-922,1690,3544
-449,2028,3472
43,2357,3466
587,2560,3215
1200,2714,3170
1563,2790,3070
1735,2770,2878
2130,2752,2590
2256,2744,2371
2333,2727,2290
2662,2608,2055
2678,2555,1738
2703,2464,1722
2754,2469,1378
2788,1883,931
2796,1963,803
2748,2047,667
2738,2140,750
2734,2226,838
2714,2311,929
2225,2358,1023
1997,2395,1305
1248,2416,1396
927,2306,1541
428,2102,1879
66,1839,2055
-116,1740,2075
-505,1568,2090
-806,1465,2101
-961,1210,2108
-1091,885,1809
-1237,714,1740
-1508,687,1719
-1509,65,1716
-1509,-46,1385
-1509,-226,1072
-1508,-309,578
-1504,-359,546
-1493,-460,231
-1390,-475,192
-1335,-558,40
-1219,-553,-261
-1137,-633,-761
-1034,-740,-1075
-722,-835,-1523
-391,-873,-1722
6,-937,-2141
201,-945,-2433
270,-954,-2647
285,-943,-2789
789,-962,-3216
827,-965,-3348
892,-987,-3378
1077,-1008,-3409
1205,-1009,-3440
1182,-984,-3470
1175,-836,-3388
1164,-707,-3218
1145,-130,-2893
1126,-9,-2781
1107,-25,-2085
1088,28,-1792
1016,28,-1772
816,28,-1728
793,28,-1689
680,28,-1330
527,-120,-882
97,-171,-32
41,-263,42
-755,-536,768
-1106,-556,1333
-1115,-634,1393
-1717,-634,2486
-1835,-634,2796
-1845,-615,2820
-2015,-575,2855
-2022,-434,3315
-2026,-284,3522
-2028,-79,3601
-1900,215,3678
-1751,333,3845
-1485,552,3947
-1216,1009,4201
-956,1310,4288
-339,2180,4380
-147,2670,4448
24,2915,4597
331,3209,4819
442,3371,4879
565,3462,4901
679,3576,4908
795,3713,4907
914,3910,5276
1035,4377,5391
812,4474,5389
898,4731,6055
959,4886,6017
1019,5025,5973
736,5141,5923
772,5239,5866
689,5338,5774
626,5433,5676
818,4179,4626
660,4037,4156
771,3430,3025
896,3317,2549
1033,3104,2235
1174,2991,1641
1311,2393,1144
1376,2195,677
928,1686,439
994,1512,136
400,652,-395
138,187,-523
-192,-213,-853
-317,-241,-1128
-1235,-446,-1199
-1244,-895,-1244
-1724,-1503,-1302
-1784,-1512,-1362
-1879,-1507,-1376
-2007,-1595,-1388
-2026,-1644,-1398
-2093,-1625,-1405
-2086,-1607,-1414
-2122,-1589,-1424
-2094,-1507,-1445
-2087,-1402,-1372
-2062,-1355,-1153
-2154,-1300,-1137
-2143,-1251,-1046
-2246,-1204,-1064
-2182,-1173,-1087
-2204,-1139,-1082
-2315,-1206,-1107
-2264,-1166,-1134
-2568,-1248,-1127
-2672,-1210,-1221
-2622,-1380,-1230
-2557,-1407,-1224
-2529,-1595,-1222
-2560,-1608,-1236
-2547,-1588,-1382
-2476,-1611,-1487
-2455,-1605,-1482
-2408,-1682,-1478
-2370,-1731,-1474
-2338,-1741,-1471
-2360,-1743,-1469
-2715,-1872,-1217
-2845,-1870,-1187
-2908,-1921,-1167
-2903,-1894,-991
-2953,-1867,-740
-3246,-1839,-89
-3231,-1812,-52
-3222,-1713,352
-3222,-1669,557
-3231,-1573,806
-3237,-1534,876
-3160,-1499,925
-3160,-1521,941
-2921,-1465,972
-2793,-1429,1003
-2671,-1310,1034
-2340,-1269,1081
-2031,-1156,740
-1423,-1119,403
-1146,-930,480
-512,-749,561
186,-514,645
851,-93,730
1308,143,814
1917,804,849
2384,1387,846
3026,2005,1137
3104,2641,1193
4123,3044,1584
4210,3342,1497
4209,4034,1575
4210,4174,1674
4454,4711,1562
4743,4804,1919
4914,4753,1821
4969,4749,1950
5090,4619,1889
5238,4495,1623
5290,4275,1332
5313,4039,1104
5309,3821,868
5400,3593,490
5362,3426,248
5339,3148,19
5166,2844,-145
5126,2540,-293
4958,2246,-395
4790,2016,-558
4715,1796,-581
4565,1999,-676
4388,1959,-747
4250,1879,-622
4122,2029,-577
4074,2121,-75
3897,2229,26
3808,2244,321
3722,2256,629
3291,2283,803
3228,2380,1257
2854,2421,1583
2762,2407,1657
2343,2331,1902
2322,2246,1939
1969,2197,2087
1891,2159,2096
1685,2146,2105
1705,2009,2112
1726,2001,2119
1748,1994,2125
1771,1987,2124
1796,2019,1440
1898,2039,1427
2043,2035,1060
2030,1989,1058
2018,2010,900
2008,1951,494
1993,1951,441
1988,1841,-137
1862,1468,-163
1804,1323,-513
1358,670,-886
1077,200,-1210
368,-573,-1474
-200,-1737,-2316
-977,-2327,-2399
-1761,-3615,-2703
-2403,-3688,-2888
-2748,-4226,-2962
-3418,-4693,-2978
-4038,-5547,-3570
-4631,-5862,-3655
-4729,-6200,-3951
-4888,-6496,-4218
-4852,-6601,-4448
-4713,-6702,-4917
-4541,-6755,-5096
-4427,-6770,-5231
-4317,-6764,-5395
-4388,-6785,-5563
-4203,-6723,-5691
-4038,-6648,-5813
-3853,-6570,-5929
-3957,-6368,-6025
-3793,-6323,-6116
-3714,-6078,-6120
-3533,-5967,-6148
-3413,-5836,-6113
-3295,-5657,-5976
-3114,-5032,-5539
-3020,-4832,-5125
-2973,-3820,-4408
-2928,-3559,-4094
-2772,-2700,-3321
-2677,-2668,-3217
-2658,-2040,-2531
-2375,-1696,-2434
-2264,-1181,-2385
-2140,-1158,-2338
-1338,-1196,-2244
-1392,-1105,-2157
-521,-1042,-2101
-492,-979,-2017
-406,-923,-2051
-360,-881,-2090
-283,-1021,-2046
-121,-1011,-2077
-58,-1093,-2121
-8,-1264,-2288
21,-1610,-2431
51,-1670,-2751
169,-1678,-2799
228,-1740,-2794
267,-1860,-2884
306,-2114,-2956
405,-2109,-2965
456,-2187,-3253
525,-2291,-3268
670,-2694,-3754
1028,-2724,-4089
1512,-2630,-4256
1765,-2477,-4268
2209,-2293,-4253
2706,-2104,-4226
3085,-1826,-4185
3715,-1388,-4128
4246,-981,-3774
4789,-238,-3426
5133,243,-2890
5500,875,-2260
5839,1468,-1604
6131,2477,-767
6501,2923,37
6805,3639,919
6998,4646,1793
7097,5025,2427
7126,5972,3563
7051,6416,4590
6946,6469,4901
6424,6550,5182
6064,6648,5438
5663,6672,5613
4989,6468,5757
4555,5999,5807
4388,5721,5682
4213,5379,5643
4046,5293,5507
3874,5208,5516
3711,5172,5521
3705,5145,5523
3625,5108,5523
3590,5083,5521
3506,5133,5892
3421,5407,6327
