2796,3310,1945
2874,3274,1843
2950,3320,1705
3019,3253,1449
3085,3111,1018
3089,3009,534
3147,2750,102
3004,2581,-261
3049,2199,-644
2973,2005,-947
2738,1236,-1399
2599,874,-1743
2445,327,-2249
2278,7,-3127
2123,-317,-3494
2033,-642,-3757
1904,-1063,-4275
1590,-1373,-4453
1362,-1751,-4612
1073,-2120,-4752
835,-2581,-4862
528,-2807,-4841
190,-3093,-4695
-145,-3259,-4709
-598,-3315,-4716
-1030,-3444,-4672
-1447,-3606,-4616
-1812,-3789,-4513
-2224,-3772,-3996
-2441,-3851,-3645
-2626,-3809,-3442
-2614,-3825,-3231
-2779,-3806,-2999
-2764,-3479,-2695
-2796,-3269,-2449
-2849,-2702,-1723
-2822,-2551,-1574
-2812,-1987,-1242
-2248,-1883,-801
-2103,-1391,-574
-1683,-1155,-462
-1425,-815,-338
-948,-421,-302
-468,52,10
-399,114,115
249,665,282
464,840,241
540,903,520
610,968,549
661,969,630
715,1042,832
759,1026,827
796,1182,900
642,1191,1071
620,1174,1343
586,1095,1402
492,1127,1426
